id;name;address;logo;logo_content_type;email;start_date;num_of_users;type;is_active;time_created;time_modified;user_id
1;mobile Fish;Home Loan Account Table Computer;../fake-data/blob/hipster.png;image/png;"h@VN.-sL9";2020-01-02;70807;Movies Pro;true;2020-01-01T15:17:23;2020-01-02T08:43:07;77
2;Officer;methodology Albania;../fake-data/blob/hipster.png;image/png;"`QS@%)A.n'\pp";2020-01-02;13950;zero admin;false;2020-01-02T08:13:42;2020-01-02T02:52:09;9060
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;../fake-data/blob/hipster.png;image/png;"R9@q.&";2020-01-01;38542;Music;false;2020-01-01T21:23:36;2020-01-02T08:01:49;44015
4;Rubber Buckinghamshire Games;incentivize Tuna copy;../fake-data/blob/hipster.png;image/png;"Z)""@'x20.Uy)";2020-01-02;3132;synthesizi;true;2020-01-01T23:27:55;2020-01-01T20:21:37;92187
5;Awesome;Aruba;../fake-data/blob/hipster.png;image/png;"zE=4'@9CkfZ}.S5W-W9";2020-01-02;53969;Louisiana ;false;2020-01-02T10:25:57;2020-01-02T06:42:15;80219
6;Small;deliverables reinvent 24 hour;../fake-data/blob/hipster.png;image/png;"I/cF=@\N..OZQ";2020-01-01;77127;Unbranded ;true;2020-01-01T17:24:51;2020-01-01T22:51:21;44945
7;Ergonomic;moratorium moratorium;../fake-data/blob/hipster.png;image/png;"%?_Khz@`En.mg0$";2020-01-02;47222;Frozen bus;true;2020-01-01T20:29:36;2020-01-02T00:20:39;23598
8;Networked Sleek Metal Table Small;Intelligent Outdoors;../fake-data/blob/hipster.png;image/png;"Drza#@(W.>";2020-01-01;90756;Phased;false;2020-01-02T00:51:31;2020-01-01T19:40:54;20306
9;Brand;neutral Salad;../fake-data/blob/hipster.png;image/png;"!C%y@R&.Cm}\";2020-01-02;87146;digital ma;true;2020-01-01T16:36:59;2020-01-02T00:52:14;32434
10;Fresh granular Direct;Profit-focused;../fake-data/blob/hipster.png;image/png;"M>Z4\D@1.<";2020-01-02;696;Borders;false;2020-01-02T02:10:44;2020-01-02T08:29:03;69243
