id;company_id;name;description;is_active
1;18452;sky blue cultivate Bedfordshire;navigate Kiribati;true
2;74747;Games;Metal;true
3;89520;Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;back-end enhance;false
4;26924;leverage Toys software;Incredible;true
5;11976;National;Ranch impactful;true
6;49844;Awesome Russian Federation;Pennsylvania Michigan;true
7;12758;encompassing customized;Home Loan Account Grass-roots;false
8;98651;Personal Loan Account;Music;false
9;15285;Multi-tiered Pizza;Gorgeous;true
10;17337;Internal;Sleek Steel Shirt;true
