id;company_id;invoice_no;invoice_date;due_date;billing_address;account_number;po_number;notes;product_total;vat_total;discount_total;total;status;time_created;time_modified;user_id_created;user_id_modified
1;53267;invoice;2019-12-28;2019-12-28;Bahamian Dollar;Ergonomic ;secured line;Incredible Focused;73024;74319;59880;4814;CLOSE;2019-12-28T05:06:24;2019-12-28T10:08:01;33040;59322
2;34040;Officer Checking Acc;2019-12-28;2019-12-28;Grocery;zero toler;Norfolk Island Gorge;Avon bandwidth;52523;90962;3264;66920;CLOSE;2019-12-28T09:29:39;2019-12-28T15:49:50;8220;31694
3;91067;Springs Rubber;2019-12-28;2019-12-28;initiatives;Web Pike;Pakistan Rupee Progr;Innovative;78675;48766;97076;65222;CLOSE;2019-12-28T14:48:41;2019-12-28T08:18:53;98384;50626
4;26895;optimize Future;2019-12-29;2019-12-28;Pines;Corporate;holistic;Highway Manors Savings Account;46974;61078;44746;28068;OPEN;2019-12-28T05:39:42;2019-12-29T01:58:37;4949;21906
5;83331;bypassing;2019-12-28;2019-12-28;redundant Hawaii;empower Un;Gorgeous Auto Loan A;XML Utah;2966;49354;67542;70225;OPEN;2019-12-28T03:51:17;2019-12-28T19:34:02;16520;39457
6;38987;interface JSON;2019-12-28;2019-12-28;Credit Card Account;secured li;Usability calculatin;Movies port;82958;5952;4055;60379;OPEN;2019-12-28T10:15:25;2019-12-28T17:18:13;9228;12102
7;59632;Saint Kitts and Nevi;2019-12-28;2019-12-29;out-of-the-box;bandwidth ;Home Loan Account Be;Rubber Pizza Fish;63787;12055;74098;90245;OPEN;2019-12-28T09:29:02;2019-12-28T16:01:55;53249;29504
8;44885;Awesome integrate;2019-12-28;2019-12-28;Hawaii web-enabled transmitter;Refined Co;Bulgarian Lev intera;PNG;59028;44641;22627;79838;CLOSE;2019-12-28T07:56:12;2019-12-28T15:49:02;9887;31886
9;88965;Tools seamless;2019-12-29;2019-12-28;Kyat syndicate;Table;Steel Legacy;Marketing value-added;51723;64582;37891;63690;OPEN;2019-12-28T07:09:35;2019-12-28T16:19:47;59598;31121
10;10125;generating Guinea ov;2019-12-28;2019-12-28;Course Yuan Renminbi;Analyst;Industrial;Venezuela Cotton;9930;3899;20886;3095;CLOSE;2019-12-28T22:37:53;2019-12-28T15:09:23;48785;28924
