id;company_id;display_order;item_name;unit_name;quantity;rate;amount;discount_pct;account_number;status
1;13004;90008;Cotton Identity info-mediaries;e-markets ;8820;28840;60687;96113;utilize;CLOSE
2;15414;47787;Mali Cheese;transmitti;44044;35618;30233;82681;microchip;OPEN
3;23503;96641;Nevada strategic New Jersey;Architect;15052;62623;81675;48889;drive;CLOSE
4;62066;46144;interface;Refined Gr;54302;90694;22774;13237;Personal Loan Account Credit Card Account back-end;CLOSE
5;54932;12482;wireless;Trail;3446;94404;96960;14879;Mission Executive Buckinghamshire;CLOSE
6;20322;56271;niches Home Loan Account Central;Oregon SCS;98073;45597;40758;44345;Auto Loan Account New Hampshire mobile;CLOSE
7;316;43914;compressing Future;structure;25604;44831;3079;51043;Savings Account Mobility Shoes;CLOSE
8;69253;52722;withdrawal;transparen;27875;73305;21070;52857;auxiliary Strategist olive;CLOSE
9;34178;83414;protocol Steel;Accounts q;88442;84592;70003;61360;Fantastic;CLOSE
10;40710;2449;forecast;Generic mu;94768;69775;7231;608;Sleek SQL Taka;CLOSE
