id;company_id;code;name;description;is_active
1;15432;Fish depos;Refined Granite Chips Fresh;Comoro Franc;true
2;29504;Avon Maryl;Direct;Hawaii web-enabled transmitter;true
3;6738;visualize ;interactive;PNG;true
4;44641;cross-plat;Terrace Virginia index;success;true
5;1230;seamless C;Kyat syndicate;Table;true
6;14259;Legacy;Marketing value-added;withdrawal deposit;false
7;38587;redundant;artificial intelligence Uzbekistan Sum;Guinea overriding;true
8;98803;Course Yua;Analyst;Industrial;true
9;53191;Cotton Sma;synergize Shirt Home;Granite Bedfordshire Fresh;true
10;11613;Identity i;e-markets Assistant Western Sahara;mission-critical;true
