id;company_id;code;name;description;is_active
1;68049;deposit;XSS;Chair mindshare Interactions;false
2;85736;Coordinator compress;Specialist e-services;program override red;true
3;65166;efficient RSS Neck;Mouse fuchsia Licensed;connect;true
4;53035;Kids back-end 4th ge;Principal Savings Account online;Music Savings Account;true
5;68556;architectures;Networked;Handcrafted Rubber Gloves;false
6;59026;e-tailers Architect ;Handcrafted Cotton Shirt Walks;port payment;true
7;86012;solid state Handmade;Tasty;Steel Berkshire;true
8;21034;efficient back up Ta;Borders;PCI;false
9;3320;Fantastic monetize F;magenta Turkish Lira;green Chicken Tasty;true
10;12421;Lead Personal Loan A;French Guiana capacitor;Assurance Auto Loan Account cross-platform;true
