id;company_id;code;name;description;address;is_active
1;74996;indigo National;Expressway;Tools Street;Arkansas reciprocal;true
2;45328;Malaysia supply-chai;Borders hack;Pants;Tasty navigate didactic;true
3;64399;schemas Industrial;calculating;withdrawal Toys white;olive;true
4;1971;Incredible multi-byt;THX;Re-contextualized Licensed;Producer;true
5;85569;parsing matrix Beliz;empower;Senior;deposit;true
6;20788;Music Salad North Ca;circuit Forward;frictionless solution-oriented;distributed Computers;true
7;62414;users Guinea;SQL lavender;transmit Wooden COM;Agent Squares;false
8;42521;Beauty optimal;Philippine Peso incentivize;Metal;methodologies Granite Corporate;true
9;27230;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden;false
10;90001;USB;Phased payment;Towels Internal;seize generate;false
