id;code;name;day_of_month_due;due_next_month_days;discount_day_of_month;discount_pct
1;Executive ;TCP parsing Networked;17088;72289;66864;82086
2;hard drive;override silver orchestration;42543;19950;50761;73624
3;Bouvet Isl;Auto Loan Account asymmetric Montana;15436;93201;48114;32064
4;Checking A;Rubber Awesome Frozen Mouse;32235;68457;80987;8786
5;Metal;hack;59563;47316;47157;60610
6;cross-plat;calculating Administrator Frozen;73086;99092;93834;20500
7;streamline;synthesize Arizona synthesizing;13977;82794;79526;75050
8;back-end;Mouse open-source payment;52306;90786;35883;31619
9;Maryland T;e-enable Plaza intranet;74760;43874;50272;57748
10;customized;synthesize Bahrain;90647;22902;62423;54284
