id;company_id;name;description;is_active
1;62251;Plain;holistic plum;true
2;53700;TCP;gold;false
3;84392;encompassi;redundant Hawaii;true
4;39679;Unbranded ;Gorgeous Auto Loan Account Granite;false
5;87986;Utah Healt;Australian Dollar Architect Frozen;false
6;16520;strategize;Dynamic port Credit Card Account;false
7;29672;capacitor ;deposit Handmade Concrete Bacon Small Rubber Pizza;true
8;25669;withdrawal;Prairie revolutionary Rubber;false
9;54958;Senior opt;Group Zloty Zloty;false
10;88803;Checking A;Direct;true
